大类,小类,审核要求,判断结果,证据,判断说明,置信度
总说明,目的,为客户和施工单位提供场地准备信息，确保场地满足设备运送和安装要求,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
总说明,角色定义,1. 飞利浦：设备制造商 / 提供商；2. 客户：买方 / 最终用户；3. 施工单位 / 第三方：负责场地设计施工；4. 屏蔽公司：负责射频屏蔽室施工（建议选用飞利浦认证）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
总说明,使用条件,1. 仅用于飞利浦设备场地准备，不可用于其他建筑 / 施工；2. 客户额外要求需告知飞利浦；3. 场地准备需符合本文件要求，偏离需经飞利浦项目经理同意；4. 需使用最新版本文件,UNKNOWN,p1:.5 3.6 3.1 室内盘管与室外机之间 3.8 有管路连接，需在墙面 3.9 开洞，具体位置由工程 师现场沟通决定 设备室 3.2 3.3 室外失超管从磁体后方 3.4 至走廊，向下至负一预 3940 两台MR共用 留地洞到一楼外墙，抬升,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x11732be00>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
总说明,客户责任,1. 明确安装房间；2. 负责场地设计和施工；3. 确保工作区域可锁闭，限制无关人员出入；4. 告知场地周边不利影响情况并整改；5. 确保场地装修完成、清洁干燥，施工人员退场,UNKNOWN,p1:用 留地洞到一楼外墙，抬升 空调与冷水机室外 至5m水平排放， 机平台(须远离失 预计长30米，90°弯头3个 超管排放区域) 6000长，2000宽， 高出地面200 C20以上基础 注： 3.11 0.5mT磁场控制区域，带心脏起搏 器、胰,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176b3d40>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
总说明,施工单位责任,严格按照国家相关规范及本文件要求施工，偏离需经飞利浦项目经理同意,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
总说明,健康和安全 - 控制区域,1. 设定 0.5mT（5G）磁力线范围为控制区域，设置 “警告：此处有强磁场” 警示标志（地面标记 / 安全围栏等）；2. 带心脏起搏器、铁磁植入物等人员禁止进入控制区域；3. 检查室入口需设安全措施（如金属探测仪）；4. 铁磁物体禁止带入检查室；5. 非铁磁材料杜瓦罐需带标签方可带入,UNKNOWN,p1:ries exceeded with url: /compatible-mo...] 2050 7000 2400 Y 控制室 1.5 2.2 0.5mT出墙， 2.2 需做铁磁屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1 | p1:用 留地洞到一楼外墙，抬升 空调与冷水机室外 至5m水平排放， 机平台(须远离失 预计长30米，90°弯头3个 超管排放区域) 6000长，2000宽， 高出地面200 C20以上基础 注： 3.11 0.5mT磁场控制区域，带心脏起搏 器、胰 | p1:90°弯头3个 超管排放区域) 6000长，2000宽， 高出地面200 C20以上基础 注： 3.11 0.5mT磁场控制区域，带心脏起搏 器、胰岛素泵和其他金属在体内的 病人，请勿进入。 更衣1 氦气排放区域 必须在失超管墙外设置防护栏和警,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176b3830>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
总说明,健康和安全 - 紧急退磁,1. 提供两个紧急退磁开关，仅紧急情况使用；2. 医疗急救需用非无磁仪器时，需先转出病人；3. 退磁后 30 秒内磁场中心强度降至 20mT（200G）以内,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
总说明,健康和安全 - 液氦 / 氦气,1. 氦气积聚可能导致窒息，失超时需通过排放系统排至室外；2. 液氦接触人体会冻伤，需专用防护装备；3. 仅培训人员可接触低温液体；4. 氦气排放管出口需设禁止进入区域，定期检查；5. 磁体通电前需安装好排放管和紧急退磁开关,UNKNOWN,p1:以上基础 注： 3.11 0.5mT磁场控制区域，带心脏起搏 器、胰岛素泵和其他金属在体内的 病人，请勿进入。 更衣1 氦气排放区域 必须在失超管墙外设置防护栏和警 系 统 布 局 图 告标志，防止意外冻伤。 .redloh thgirypoc | p1:管与室外机之间 3.8 有管路连接，需在墙面 3.9 开洞，具体位置由工程 师现场沟通决定 设备室 3.2 3.3 室外失超管从磁体后方 3.4 至走廊，向下至负一预 3940 两台MR共用 留地洞到一楼外墙，抬升 空调与冷水机室外 至5m水平 | p1:管从磁体后方 3.4 至走廊，向下至负一预 3940 两台MR共用 留地洞到一楼外墙，抬升 空调与冷水机室外 至5m水平排放， 机平台(须远离失 预计长30米，90°弯头3个 超管排放区域) 6000长，2000宽， 高出地面200 C20以上,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x114c348c0>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
设备资料,磁体参数 - 尺寸,1. Ingenia 3.0T：1838x2278x2505mm；2. Ingenia MR 5300：1838x2278x2505mm；3. Achieva 1.5T：2198x4444x2492mm；4. Ingenia MR 7700：1868x2278x2505mm；5. Ingenia 3.0T CX：2199x4391x2504mm Prodiva 2180x4830x2478mm 6 Multiva 1.5T  2052x4417x2499mm   Achieva3.0: 2198x4444x2492mm  Ingenia Elation 2278x1838x2505,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
设备资料,磁体参数 - 重量,1. Ingenia 3.0T：6100kg；2. Ingenia MR 5300：3700kg；3. Achieva 1.5T：4630kg；4. Ingenia MR 7700：6300kg；5. Ingenia 3.0T CX：5660kg Prodiva 3665KG  Multiva 1.5T 4500KG    Achieva3.0T 6100KG  Ingenia Elition 6300KG,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
设备资料,磁体参数 - 噪声,1. Ingenia 3.0T：94-99dB (A)（检查室）；2. Ingenia MR 5300：94-99dB (A)（检查室）；3. Achieva 1.5T：99-105dB (A)；4. Ingenia MR 7700：95dB (A)（检查室）；5. Ingenia 3.0T CX：105dB (A) Pridiva 99-105db   Achieva 3.0:99-105db Multiva 1.5T  99-105db  Ingenia Elition 94-99db,UNKNOWN,p1:.5 2.2 0.5mT出墙， 2.2 需做铁磁屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x2600高 Tm 3 洞口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x114b86420>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
设备资料,病人床参数 - 尺寸,1. Ingenia 3.0T/Ingenia MR 5300/Ingenia MR 7700：560x2500x947mm；2. Achieva 1.5T：含磁体整体尺寸 2198x4444x2492mm；3. Ingenia 3.0T CX：含磁体整体尺寸 2199x4391x2504mm Pridiva 2180x4830x2478含磁体整体尺寸  Multiva 1.5T 2052x4417x2499mm含磁体整体尺寸 Achieva 3.0T: 2198x4444x2492 含磁体整体尺寸   Ingenia Elition 560x2500x947MM,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
设备资料,病人床参数 - 重量,1. Ingenia 3.0T/Ingenia MR 5300/Ingenia MR 7700：260kg；2. Achieva 1.5T：165KG；3. Ingenia 3.0T CX：含磁体整体重量 5660kg Prodiva 268KG  Multiva165KG Achieva3.0T 260KG  Ingenia Elition 260KG,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
运输要求,操作车辆,需使用大卡车、铲车、吊车、液压车,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
运输要求,磁体入口尺寸,1. 开墙洞：2.50m（宽）x2.50m（高）；2. 屋顶吊装：2.50m（长）x2.50m（宽）,UNKNOWN,p1:屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x2600高 Tm 3 洞口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0 8'进水管需加三通 Ø50mm的下水管 Tm | p1:2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x2600高 Tm 3 洞口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0 8'进水管需加三通 Ø50mm的下水管 Tm 3.0 1 | p1:向下至负一预 3940 两台MR共用 留地洞到一楼外墙，抬升 空调与冷水机室外 至5m水平排放， 机平台(须远离失 预计长30米，90°弯头3个 超管排放区域) 6000长，2000宽， 高出地面200 C20以上基础 注： 3.11 0.5,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f4830>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
运输要求,走廊尺寸,2.50m（宽）x2.60m（高）,UNKNOWN,p1:屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x2600高 Tm 3 洞口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0 8'进水管需加三通 Ø50mm的下水管 Tm | p1:2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x2600高 Tm 3 洞口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0 8'进水管需加三通 Ø50mm的下水管 Tm 3.0 1 | p1:Tm 7 2300宽x2600高 Tm 3 洞口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0 8'进水管需加三通 Ø50mm的下水管 Tm 3.0 1.3 235 分别接至空调、 地漏 通至室外下水沟 水冷机和LCC 装饰层 屏蔽层 原始墙,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f50a0>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
运输要求,检查室门尺寸,"1.20m（宽）x2.10m（高）（加液氦通道,500L液氦杜瓦罐）(如果液氦杜瓦罐是小瓶250L,尺寸要求 900 （宽）x2020 高，)",UNKNOWN,p1:屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x2600高 Tm 3 洞口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0 8'进水管需加三通 Ø50mm的下水管 Tm | p1:2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x2600高 Tm 3 洞口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0 8'进水管需加三通 Ø50mm的下水管 Tm 3.0 1,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f59d0>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
运输要求,设备室门尺寸,1.20m（宽）x2.10m（高）,UNKNOWN,p1:屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x2600高 Tm 3 洞口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0 8'进水管需加三通 Ø50mm的下水管 Tm | p1:2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x2600高 Tm 3 洞口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0 8'进水管需加三通 Ø50mm的下水管 Tm 3.0 1,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x11764f6b0>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
运输要求,运输时振动加速度限值,竖直方向≤2g，其他方向≤1g,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
运输要求,磁体运输尺寸 - 带外壳,1. Ingenia 3.0T：1870x2280mm（重量 6100kg）；2. Ingenia MR 5300：1870x2280mm（重量 3700kg）；3. Ingenia MR 7700：1870x2280mm（重量 6300kg）；4. Achieva 1.5T：2060x1780x2400mm（重量 3800kg）；5. Ingenia 3.0T CX：1920x1780x2480mm（重量 5660kg）Prodiva 1.5T 2020x1880x2200mm（重量3665kg）Multiva 1.5T 2060x1780x2400mm （重量 4500kg）Achieva 3.0T：1920x1780x2480mm（重量 6100kg）Ingenia Elition  1870x2280mm（重量6300kg),UNKNOWN,,图纸中未找到可验证的相关证据,0.0
运输要求,存放条件 - 温度,1. 常规：-20~50°C；由于每台机器都有测试水膜，水膜适用温度在 5~50°C，过低都会把水膜冻裂,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
运输要求,存放条件 - 湿度,5%~95%（无冷凝）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
运输要求,存放条件 - 仓库面积,大于 40m²，封闭区域,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
运输要求,存放条件 - 大气压力,1. Ingenia 3.0T/Ingenia MR 7700/Ingenia 3.0T CX/Prodiva 1.5T/Mulitiva 1.5T/Ingenia Elition ：50kPa~106kPa；2. Ingenia MR 5300：700hPa~1100hPa；3. Achieva 1.5T：无明确要求（默认遵循常规）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
运输要求,存放条件 - 倾斜角度,1. 无额外液氦挥发：≤5°（Ingenia 3.0T/Ingenia 3.0T CX）；≤20°（Ingenia MR 5300/Ingenia MR 7700）；2. 大量液氦挥发：≤20°（所有型号）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
