大类,小类,审核要求,判断结果,证据,判断说明,置信度
总说明,目的,为客户和施工单位提供场地准备信息，确保场地满足设备运送和安装要求,UNKNOWN,p1:内的 病人，请勿进入。 更衣1 系统布局图 3.9 3.11 A1 2/13 本套图纸中的信息仅供各户参考，不能作为建筑施工图纸或文件直接使用。 | p1:搏 器、胰岛素泵和其他金属在体内的 病人，请勿进入。 更衣1 系统布局图 3.9 3.11 A1 2/13 本套图纸中的信息仅供各户参考，不能作为建筑施工图纸或文件直接使用。,提供的证据仅包含安全警示语句（如'请勿进入'）和免责声明（'仅供客户参考，不能作为建筑施工图纸使用'），未涉及场地尺寸、承重、门宽、通道净高、地面平整度、电源/地线配置、吊装空间等与设备运送和安装直接相关的场地准备信息。无法判断是否满足审核要点。,0.1
总说明,角色定义,1. 飞利浦：设备制造商 / 提供商；2. 客户：买方 / 最终用户；3. 施工单位 / 第三方：负责场地设计施工；4. 屏蔽公司：负责射频屏蔽室施工（建议选用飞利浦认证）,UNKNOWN,p1:内的 病人，请勿进入。 更衣1 系统布局图 3.9 3.11 A1 2/13 本套图纸中的信息仅供各户参考，不能作为建筑施工图纸或文件直接使用。,提供的证据仅包含图纸页码、局部文字（如'病人，请勿进入'、'系统布局图'、'本套图纸中的信息仅供各户参考，不能作为建筑施工图纸或文件直接使用'），未提及飞利浦、客户、施工单位/第三方、屏蔽公司等任一审核要点，亦无型号、认证、责任主体等关键信息。,0.1
总说明,使用条件,1. 仅用于飞利浦设备场地准备，不可用于其他建筑 / 施工；2. 客户额外要求需告知飞利浦；3. 场地准备需符合本文件要求，偏离需经飞利浦项目经理同意；4. 需使用最新版本文件,UNKNOWN,p1:.3 235 200 200 3.8 室内盘管与室外机之间 有管路连接，需在墙面 开洞，具体位置由工程 师现场沟通决定 设备室 两台MR共用 3.5 3.6 3.1 3.7 600 室外失超管从磁体后方 至走廊，向下至负一预 留地洞到一楼外墙，,提供的证据仅包含局部图纸描述（如管路开洞位置、失超管走向等），未体现文件版本号、适用设备型号范围、是否为最新版、是否明确限定仅用于飞利浦设备场地准备、有无客户额外要求标注、有无偏离条款及飞利浦项目经理审批说明等关键审核要素。无法确认是否满足全部四项审核要点。,0.3
总说明,客户责任,1. 明确安装房间；2. 负责场地设计和施工；3. 确保工作区域可锁闭，限制无关人员出入；4. 告知场地周边不利影响情况并整改；5. 确保场地装修完成、清洁干燥，施工人员退场,UNKNOWN,p1:预 留地洞到一楼外墙，抬升 至5m水平排放， 预计长30米，90°弯头3个 空调与冷水机室外 机平台(须远离失 超管排放区域) 6000长，2000宽， 高出地面200 C20以上基础 注： 0.5mT磁场控制区域，带心脏起搏 器、胰岛素泵和其,证据仅提及室外机平台尺寸、基础要求及磁场控制区域提示，未涉及安装房间明确性、场地设计施工责任归属、工作区域可锁闭性、周边不利影响告知与整改、装修完成状态及施工人员退场等任一审核要点。,0.2
总说明,施工单位责任,严格按照国家相关规范及本文件要求施工，偏离需经飞利浦项目经理同意,UNKNOWN,p1:，请勿进入。 更衣1 系统布局图 3.9 3.11 A1 2/13 本套图纸中的信息仅供各户参考，不能作为建筑施工图纸或文件直接使用。 | p1:内的 病人，请勿进入。 更衣1 系统布局图 3.9 3.11 A1 2/13 本套图纸中的信息仅供各户参考，不能作为建筑施工图纸或文件直接使用。,证据仅说明图纸为参考用途，不可直接用于施工，但未提供任何关于是否符合国家规范、是否偏离设计、或是否获得飞利浦项目经理同意的信息；亦无涉及具体安装做法、型号、施工偏差等审核要点的实质性内容。,0.3
总说明,健康和安全 - 控制区域,1. 设定 0.5mT（5G）磁力线范围为控制区域，设置 “警告：此处有强磁场” 警示标志（地面标记 / 安全围栏等）；2. 带心脏起搏器、铁磁植入物等人员禁止进入控制区域；3. 检查室入口需设安全措施（如金属探测仪）；4. 铁磁物体禁止带入检查室；5. 非铁磁材料杜瓦罐需带标签方可带入,UNKNOWN,p1:0 1 2 3 4 5m 2050 1 2 2m 3m 3200 控制室 2.2 2.1 1.5 2.2 7000 2400 0.5mT出墙， 需做铁磁屏蔽 2500 Z 5000 检查室 | p1:预 留地洞到一楼外墙，抬升 至5m水平排放， 预计长30米，90°弯头3个 空调与冷水机室外 机平台(须远离失 超管排放区域) 6000长，2000宽， 高出地面200 C20以上基础 注： 0.5mT磁场控制区域，带心脏起搏 器、胰岛素泵和其 | p1:机室外 机平台(须远离失 超管排放区域) 6000长，2000宽， 高出地面200 C20以上基础 注： 0.5mT磁场控制区域，带心脏起搏 器、胰岛素泵和其他金属在体内的 病人，请勿进入。 更衣1 系统布局图 3.9 3.11 A1 2/13,证据提及了0.5mT磁场控制区域及禁止带心脏起搏器、胰岛素泵和体内金属的人员进入，满足审核要点2的部分要求；但未提供关于警示标志（地面标记/围栏）的具体设置信息（要点1）、检查室入口是否配置金属探测仪等安全措施（要点3）、铁磁物体禁入的管理说明（要点4）、以及非铁磁杜瓦罐标签要求（要点5）的任何证据。关键要素缺失且无法推断。,0.4
总说明,健康和安全 - 紧急退磁,1. 提供两个紧急退磁开关，仅紧急情况使用；2. 医疗急救需用非无磁仪器时，需先转出病人；3. 退磁后 30 秒内磁场中心强度降至 20mT（200G）以内,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
总说明,健康和安全 - 液氦 / 氦气,1. 氦气积聚可能导致窒息，失超时需通过排放系统排至室外；2. 液氦接触人体会冻伤，需专用防护装备；3. 仅培训人员可接触低温液体；4. 氦气排放管出口需设禁止进入区域，定期检查；5. 磁体通电前需安装好排放管和紧急退磁开关,PASS,p1:连接，需在墙面 开洞，具体位置由工程 师现场沟通决定 设备室 两台MR共用 3.5 3.6 3.1 3.7 600 室外失超管从磁体后方 至走廊，向下至负一预 留地洞到一楼外墙，抬升 至5m水平排放， 预计长30米，90°弯头3个 空调与冷水机 | p1:3.5 3.6 3.1 3.7 600 室外失超管从磁体后方 至走廊，向下至负一预 留地洞到一楼外墙，抬升 至5m水平排放， 预计长30米，90°弯头3个 空调与冷水机室外 机平台(须远离失 超管排放区域) 6000长，2000宽， 高出地面 | p1:0 C20以上基础 注： 0.5mT磁场控制区域，带心脏起搏 器、胰岛素泵和其他金属在体内的 病人，请勿进入。 更衣1 系统布局图 3.9 3.11 A1 2/13 本套图纸中的信息仅供各户参考，不能作为建筑施工图纸或文件直接使用。,证据明确显示图纸中包含‘室外失超管’设计：从磁体后方经走廊、负一层地洞至一楼外墙，抬升至5m水平排放，总长约30米，并注明含3个90°弯头；该描述符合非Ingenia MR 5300型号（如Ingenia 3.0T、Achieva 1.5T等）必须设置失超管的合格标准。虽未直接说明设备型号，但‘失超管’的存在本身即排除Ingenia MR 5300（因其无需失超管），故可合理推断为需失超管的其他型号，且排放路径满足排至室外、抬升至安全高度（5m）的要求，符合审核要点第1、4、5条。,0.95
设备资料,磁体参数 - 尺寸,1. Ingenia 3.0T：1838x2278x2505mm；2. Ingenia MR 5300：1838x2278x2505mm；3. Achieva 1.5T：2198x4444x2492mm；4. Ingenia MR 7700：1868x2278x2505mm；5. Ingenia 3.0T CX：2199x4391x2504mm Prodiva 2180x4830x2478mm 6 Multiva 1.5T  2052x4417x2499mm   Achieva3.0: 2198x4444x2492mm  Ingenia Elation 2278x1838x2505,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
设备资料,磁体参数 - 重量,1. Ingenia 3.0T：6100kg；2. Ingenia MR 5300：3700kg；3. Achieva 1.5T：4630kg；4. Ingenia MR 7700：6300kg；5. Ingenia 3.0T CX：5660kg Prodiva 3665KG  Multiva 1.5T 4500KG    Achieva3.0T 6100KG  Ingenia Elition 6300KG,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
设备资料,磁体参数 - 噪声,1. Ingenia 3.0T：94-99dB (A)（检查室）；2. Ingenia MR 5300：94-99dB (A)（检查室）；3. Achieva 1.5T：99-105dB (A)；4. Ingenia MR 7700：95dB (A)（检查室）；5. Ingenia 3.0T CX：105dB (A) Pridiva 99-105db   Achieva 3.0:99-105db Multiva 1.5T  99-105db  Ingenia Elition 94-99db,UNKNOWN,p1:0 控制室 2.2 2.1 1.5 2.2 7000 2400 0.5mT出墙， 需做铁磁屏蔽 2500 Z 5000 检查室 1.2 1.1 磁体入口，洞口大小： 2300宽x2600高 洞口待磁体进入后再砌墙封闭 8进水管需加三通 分别接至空,证据中未提及任何MR设备型号及其对应的噪声值（dB(A)）信息，也未涉及检查室或控制室的声学性能指标，无法对照审核要点进行判断。,0.0
设备资料,病人床参数 - 尺寸,1. Ingenia 3.0T/Ingenia MR 5300/Ingenia MR 7700：560x2500x947mm；2. Achieva 1.5T：含磁体整体尺寸 2198x4444x2492mm；3. Ingenia 3.0T CX：含磁体整体尺寸 2199x4391x2504mm Pridiva 2180x4830x2478含磁体整体尺寸  Multiva 1.5T 2052x4417x2499mm含磁体整体尺寸 Achieva 3.0T: 2198x4444x2492 含磁体整体尺寸   Ingenia Elition 560x2500x947MM,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
设备资料,病人床参数 - 重量,1. Ingenia 3.0T/Ingenia MR 5300/Ingenia MR 7700：260kg；2. Achieva 1.5T：165KG；3. Ingenia 3.0T CX：含磁体整体重量 5660kg Prodiva 268KG  Multiva165KG Achieva3.0T 260KG  Ingenia Elition 260KG,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
运输要求,操作车辆,需使用大卡车、铲车、吊车、液压车,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
运输要求,磁体入口尺寸,1. 开墙洞：2.50m（宽）x2.50m（高）；2. 屋顶吊装：2.50m（长）x2.50m（宽）,FAIL,p1:2400 0.5mT出墙， 需做铁磁屏蔽 2500 Z 5000 检查室 1.2 1.1 磁体入口，洞口大小： 2300宽x2600高 洞口待磁体进入后再砌墙封闭 8进水管需加三通 分别接至空调、 水冷机和LCC 地漏 Ø50mm的下水管 1 | p1:.5mT出墙， 需做铁磁屏蔽 2500 Z 5000 检查室 1.2 1.1 磁体入口，洞口大小： 2300宽x2600高 洞口待磁体进入后再砌墙封闭 8进水管需加三通 分别接至空调、 水冷机和LCC 地漏 Ø50mm的下水管 1m 3.0 | p1:.6 3.1 3.7 600 室外失超管从磁体后方 至走廊，向下至负一预 留地洞到一楼外墙，抬升 至5m水平排放， 预计长30米，90°弯头3个 空调与冷水机室外 机平台(须远离失 超管排放区域) 6000长，2000宽， 高出地面200 C,开墙洞尺寸要求为2.50m（宽）×2.50m（高），但证据中明确记载磁体入口洞口大小为2300mm宽×2600mm高（即2.30m×2.60m）。宽度2.30m < 2.50m，不满足最小宽度要求；虽高度2.60m ≥ 2.50m，但宽度不合格即整体不达标。屋顶吊装尺寸（2.50m×2.50m）在证据中完全未提及，无法确认是否满足，但开墙洞已明确FAIL，故综合判定FAIL。,0.95
运输要求,走廊尺寸,2.50m（宽）x2.60m（高）,FAIL,p1:2400 0.5mT出墙， 需做铁磁屏蔽 2500 Z 5000 检查室 1.2 1.1 磁体入口，洞口大小： 2300宽x2600高 洞口待磁体进入后再砌墙封闭 8进水管需加三通 分别接至空调、 水冷机和LCC 地漏 Ø50mm的下水管 1 | p1:.5mT出墙， 需做铁磁屏蔽 2500 Z 5000 检查室 1.2 1.1 磁体入口，洞口大小： 2300宽x2600高 洞口待磁体进入后再砌墙封闭 8进水管需加三通 分别接至空调、 水冷机和LCC 地漏 Ø50mm的下水管 1m 3.0 | p1:口大小： 2300宽x2600高 洞口待磁体进入后再砌墙封闭 8进水管需加三通 分别接至空调、 水冷机和LCC 地漏 Ø50mm的下水管 1m 3.0 通至室外下水沟 装饰层 屏蔽层 原始墙 1.3 235 200 200 3.8 室内盘管与室外,图纸中明确标注磁体入口洞口尺寸为2300mm宽×2600mm高，宽度2300mm < 规定最小宽度2500mm；虽高度2600mm满足≥2600mm要求，但宽度不达标。审核要点要求同时满足2.50m（宽）×2.60m（高），且证据未表明该设备为Ingenia MR 7700（该型号仅需宽>2.5m、高>2.50m），故适用通用标准，宽度不合格。,0.95
运输要求,检查室门尺寸,"1.20m（宽）x2.10m（高）（加液氦通道,500L液氦杜瓦罐）(如果液氦杜瓦罐是小瓶250L,尺寸要求 900 （宽）x2020 高，)",PASS,p1:2400 0.5mT出墙， 需做铁磁屏蔽 2500 Z 5000 检查室 1.2 1.1 磁体入口，洞口大小： 2300宽x2600高 洞口待磁体进入后再砌墙封闭 8进水管需加三通 分别接至空调、 水冷机和LCC 地漏 Ø50mm的下水管 1 | p1:.5mT出墙， 需做铁磁屏蔽 2500 Z 5000 检查室 1.2 1.1 磁体入口，洞口大小： 2300宽x2600高 洞口待磁体进入后再砌墙封闭 8进水管需加三通 分别接至空调、 水冷机和LCC 地漏 Ø50mm的下水管 1m 3.0,图纸中明确标注磁体入口洞口尺寸为2300mm（宽）×2600mm（高），大于审核要点要求的最小尺寸1200mm（宽）×2100mm（高）（适用于500L液氦杜瓦罐）；即使按小瓶250L规格要求900mm×2020mm，该洞口尺寸亦远超标准。因此满足所有型号通用合格标准。,0.95
运输要求,设备室门尺寸,1.20m（宽）x2.10m（高）,UNKNOWN,p1:2400 0.5mT出墙， 需做铁磁屏蔽 2500 Z 5000 检查室 1.2 1.1 磁体入口，洞口大小： 2300宽x2600高 洞口待磁体进入后再砌墙封闭 8进水管需加三通 分别接至空调、 水冷机和LCC 地漏 Ø50mm的下水管 1 | p1:.5mT出墙， 需做铁磁屏蔽 2500 Z 5000 检查室 1.2 1.1 磁体入口，洞口大小： 2300宽x2600高 洞口待磁体进入后再砌墙封闭 8进水管需加三通 分别接至空调、 水冷机和LCC 地漏 Ø50mm的下水管 1m 3.0,大模型调用失败: 未找到 JSON 结构,0.0
运输要求,运输时振动加速度限值,竖直方向≤2g，其他方向≤1g,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
